member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,addr_state,dti,earliest_cr_line,inq_last_6mths,open_acc,revol_util,total_acc,total_rec_prncp,issue_year,issue_month,issue_quarter,months_since_ecr,region,income_category
1295329,8000,8000,8000.0, 60 months,20.3,213.29,E,E5,1,RENT,42500.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,GA,14.23,2004-03-01,1,10,95.0,24,2173.49,2011,12,4,93,SouthEast,Low
1295322,13000,13000,13000.0, 36 months,16.29,458.91,D,D1,10,RENT,28000.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,NC,12.9,2001-10-01,1,4,93.3,8,5318.23,2011,12,4,122,SouthEast,Low
1295344,24000,24000,23975.0, 60 months,17.58,603.98,D,D4,5,RENT,68809.0,Verified,2011-12-01,Charged Off,debt_consolidation,FL,21.29,2005-06-01,1,10,25.3,20,1567.87,2011,12,4,78,SouthEast,Medium
1295018,11200,11200,11200.0, 36 months,12.42,374.26,B,B4,3,RENT,75000.0,Not Verified,2011-12-01,Charged Off,car,CA,22.88,1996-12-01,0,8,74.4,13,2702.91,2011,12,4,180,West,Medium
1294623,12000,12000,12000.0, 36 months,14.27,411.71,C,C2,2,RENT,28000.0,Source Verified,2011-12-01,Charged Off,credit_card,CA,8.49,2007-08-01,1,9,68.5,10,3441.99,2011,12,4,52,West,Low
1294599,3000,3000,3000.0, 36 months,7.9,93.88,A,A4,10,MORTGAGE,65000.0,Not Verified,2011-12-01,Charged Off,other,WA,4.89,1994-08-01,0,4,85.3,18,2357.46,2011,12,4,208,West,Medium
1266720,8575,8575,8575.0, 36 months,17.58,308.21,D,D4,10,MORTGAGE,32000.0,Verified,2011-12-01,Charged Off,debt_consolidation,FL,22.54,2004-09-01,1,4,89.9,5,2808.63,2011,12,4,87,SouthEast,Low
1294543,28000,18625,18600.0, 60 months,12.42,418.27,B,B4,8,MORTGAGE,84996.0,Verified,2011-12-01,Charged Off,debt_consolidation,GA,23.41,1998-12-01,0,13,44.2,40,12259.35,2011,12,4,156,SouthEast,Medium
1294520,16000,16000,15975.0, 60 months,18.25,408.48,D,D5,10,MORTGAGE,49000.0,Verified,2011-12-01,Charged Off,credit_card,OH,18.39,2001-12-01,2,15,94.5,23,4035.93,2011,12,4,120,MidWest,Low
1294396,11000,11000,11000.0, 36 months,7.9,344.2,A,A4,4,MORTGAGE,80000.0,Not Verified,2011-12-01,Charged Off,credit_card,AZ,4.74,1999-12-01,0,8,77.7,15,2508.54,2011,12,4,144,West,Medium
1294277,5000,5000,5000.0, 36 months,16.29,176.51,D,D1,6,MORTGAGE,85000.0,Source Verified,2011-12-01,Charged Off,medical,WA,22.81,2004-05-01,2,9,90.0,17,2907.06,2011,12,4,91,West,Medium
1294263,10000,10000,10000.0, 36 months,12.69,335.45,B,B5,6,OWN,36000.0,Verified,2011-12-01,Charged Off,debt_consolidation,CA,15.9,2006-12-01,3,8,65.3,10,7421.06,2011,12,4,60,West,Low
1260966,3000,3000,3000.0, 36 months,16.29,105.91,D,D1,4,MORTGAGE,65000.0,Not Verified,2011-12-01,Charged Off,other,FL,15.16,2007-06-01,1,12,60.2,18,1830.43,2011,12,4,54,SouthEast,Medium
1294324,7700,7700,7700.0, 36 months,16.77,273.65,D,D2,3,RENT,29772.96,Source Verified,2011-12-01,Charged Off,other,TX,18.58,2000-08-01,0,6,82.9,11,3153.85,2011,12,4,136,SouthWest,Low
1294204,24500,24500,24475.0, 60 months,20.89,661.3,F,F1,4,RENT,85000.0,Verified,2011-12-01,Charged Off,credit_card,NJ,9.09,2004-04-01,0,6,94.4,8,962.75,2011,12,4,92,NorthEast,Medium
1294315,22200,22200,22200.0, 36 months,19.42,818.49,E,E3,2,RENT,160000.0,Source Verified,2011-12-01,Charged Off,debt_consolidation,CA,13.33,1996-10-01,1,12,89.1,25,4940.21,2011,12,4,182,West,High
1294107,13000,13000,13000.0, 36 months,7.9,406.78,A,A4,10,RENT,28000.0,Not Verified,2011-12-01,Charged Off,credit_card,MN,16.93,2000-04-01,0,7,66.1,19,5072.35,2011,12,4,140,MidWest,Low
1222612,3600,3600,3600.0, 36 months,12.69,120.77,B,B5,10,MORTGAGE,60000.0,Not Verified,2011-12-01,Charged Off,medical,MI,19.0,2001-08-01,3,10,13.0,17,2785.13,2011,12,4,124,MidWest,Medium
1260677,7100,7100,7100.0, 36 months,14.65,244.91,C,C3,1,RENT,33000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,IL,23.85,2006-06-01,2,10,41.5,13,2774.87,2011,12,4,66,MidWest,Low
1293770,22250,22250,22250.0, 36 months,12.69,746.38,B,B5,2,RENT,41000.0,Verified,2011-12-01,Charged Off,debt_consolidation,NY,15.63,2004-12-01,0,8,61.9,10,14038.0,2011,12,4,84,NorthEast,Low
1289516,7650,7650,7650.0, 36 months,11.71,253.04,B,B3,5,RENT,57000.0,Verified,2011-12-01,Charged Off,debt_consolidation,CA,23.96,2006-04-01,1,10,63.4,18,2056.23,2011,12,4,68,West,Medium
1293501,20675,20675,20650.0, 60 months,15.27,494.8,C,C4,7,RENT,50132.0,Verified,2011-12-01,Charged Off,other,CA,23.31,2000-04-01,1,6,74.1,17,2979.22,2011,12,4,140,West,Medium
1293676,20500,20500,20475.0, 60 months,12.69,463.2,B,B5,0,RENT,47800.0,Verified,2011-12-01,Charged Off,debt_consolidation,CA,28.32,1999-04-01,1,10,52.2,20,3976.64,2011,12,4,152,West,Low
1290729,12000,12000,12000.0, 36 months,15.96,421.65,C,C5,9,MORTGAGE,88000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,NY,10.6,2002-10-01,3,11,77.8,20,3074.42,2011,12,4,110,NorthEast,Medium
1293299,10000,10000,10000.0, 36 months,13.49,339.31,C,C1,10,RENT,30000.0,Not Verified,2011-12-01,Charged Off,debt_consolidation,NY,20.96,2007-06-01,0,10,32.0,11,3411.93,2011,12,4,54,NorthEast,Low
